FIPS_Code,State,Area_name,Civilian_labor_force_2011,Employed_2011,Unemployed_2011,Unemployment_rate_2011,Median_Household_Income_2011,Med_HH_Income_Percent_of_StateTotal_2011
27001,MN,Aitkin County,7609,6929,680,4.449165402,39958,70.2
27003,MN,Anoka County,190498,177897,12601,3.797498759,63799,112
27005,MN,Becker County,18067,16810,1257,4.586795319,47819,84
27007,MN,Beltrami County,22597,20757,1840,4.912018902,40657,71.4
27009,MN,Benton County,22363,20767,1596,4.322496712,49482,86.9
27011,MN,Big Stone County,2984,2801,183,4.534950895,43190,75.8
27013,MN,Blue Earth County,38765,36700,2065,4.384217788,46280,81.3
27015,MN,Brown County,15863,14986,877,4.658496298,50339,88.4
27017,MN,Carlton County,17981,16586,1395,4.441504957,49357,86.7
27019,MN,Carver County,50425,47583,2842,4.605308191,85314,149.8
27021,MN,Cass County,14591,13192,1399,4.881244881,42297,74.3
27023,MN,Chippewa County,7422,6975,447,4.179024651,46545,81.7
27025,MN,Chisago County,29087,26836,2251,4.506773952,62776,110.2
27027,MN,Clay County,34004,32318,1686,4.113658676,52731,92.6
27029,MN,Clearwater County,4398,3860,538,5.371136265,36697,64.4
27031,MN,Cook County,3265,3060,205,3.783471948,44278,77.8
27033,MN,Cottonwood County,6871,6498,373,4.317975488,44504,78.2
27035,MN,Crow Wing County,34140,31369,2771,4.655011229,45514,79.9
27037,MN,Dakota County,232031,218093,13938,4.105026442,70064,123
27039,MN,Dodge County,11116,10439,677,4.755640746,65423,114.9
27041,MN,Douglas County,21333,20135,1198,4.986854138,49161,86.3
27043,MN,Faribault County,7827,7278,549,4.701421408,43567,76.5
27045,MN,Fillmore County,11484,10745,739,4.703075142,47241,83
27047,MN,Freeborn County,17009,15884,1125,4.206108852,44352,77.9
27049,MN,Goodhue County,26368,24750,1618,4.560429089,54724,96.1
27051,MN,Grant County,3253,3021,232,4.993896349,43715,76.8
27053,MN,Hennepin County,657760,618156,39604,3.879407657,60811,106.8
27055,MN,Houston County,10869,10105,764,4.282985967,52325,91.9
27057,MN,Hubbard County,9436,8568,868,4.955539212,41196,72.3
27059,MN,Isanti County,20924,19208,1716,4.253415574,57860,101.6
27061,MN,Itasca County,23809,21765,2044,4.632333022,44957,78.9
27063,MN,Jackson County,7296,6972,324,4.577575602,47337,83.1
27065,MN,Kanabec County,8195,7314,881,4.420953799,44691,78.5
27067,MN,Kandiyohi County,25325,23898,1427,4.405643509,49543,87
27069,MN,Kittson County,2667,2495,172,3.848603403,45740,80.3
27071,MN,Koochiching County,6870,6302,568,4.160167881,42771,75.1
27073,MN,Lac qui Parle County,4348,4116,232,4.816318821,49670,87.2
27075,MN,Lake County,6466,6059,407,4.369355613,48683,85.5
27077,MN,Lake of the Woods County,2346,2206,140,4.641819114,39777,69.9
27079,MN,Le Sueur County,14600,13410,1190,4.506698142,54468,95.7
27081,MN,Lincoln County,3564,3391,173,4.674749359,43996,77.3
27083,MN,Lyon County,15377,14577,800,4.660388128,50031,87.9
27085,MN,McLeod County,20563,19015,1548,5.438583549,52120,91.5
27087,MN,Mahnomen County,2591,2400,191,4.044981537,37593,66
27089,MN,Marshall County,5666,5209,457,4.323144105,47760,83.9
27091,MN,Martin County,11960,11235,725,4.550504012,44597,78.3
27093,MN,Meeker County,12892,11909,983,5.308361301,51299,90.1
27095,MN,Mille Lacs County,12318,11052,1266,4.71438578,43155,75.8
27097,MN,Morrison County,18572,17053,1519,4.739093561,44928,78.9
27099,MN,Mower County,21839,20661,1178,3.958547841,46860,82.3
